대수,국회의원코드,국회의원명,의안ID,의안번호,대표발의
제13대,AML4805R,한승수,010750,130087,true
제13대,AML4805R,한승수,010751,130086,true
제13대,33J43967,서상목,010748,130085,true
제13대,O3I2054Z,권해옥,010747,130084,true
제13대,ALM3369J,신재기,010757,130083,true
제13대,ALM3369J,신재기,010759,130082,true
제13대,9TG26303,유수호,010746,130081,true
제13대,ALM3369J,신재기,010745,130080,true
제13대,ALM3369J,신재기,010758,130079,true
제13대,9TG26303,유수호,010756,130078,true
제13대,1MY6092K,강영훈,010739,130072,true
제13대,TXU99386,유기천,010736,130071,true
제13대,I3819289,오유방,010736,130071,false
제13대,OQ09860C,김종호,010738,130070,true
제13대,OG58098B,홍세기,010737,130069,true
제13대,GZS38403,강우혁,010737,130069,false
제13대,9TG26303,유수호,010735,130068,true
제13대,JZQ2865S,이진우,010735,130068,false
제13대,ACT1860R,조세형,010734,130066,true
제13대,1O451032,박실,010734,130066,false
제13대,IOI30449,김봉호,010717,130065,true
제13대,RSE1582E,윤재기,010717,130065,false
제13대,YP610287,황병태,010717,130065,false
제13대,4RF2451S,김원기,010731,130064,true
제13대,XAB5157V,최형우,010731,130064,false
제13대,IOI30449,김봉호,010730,130063,true
제13대,PY75021S,조부영,010730,130063,false
제13대,YP610287,황병태,010730,130063,false
제13대,UWR1927I,김태식,010722,130062,true
제13대,WFJ6020P,김덕룡,010722,130062,false
제13대,ACT1860R,조세형,010719,130061,true
제13대,VU95307T,이택석,010719,130061,false
제13대,6VW96635,신순범,010723,130060,true
제13대,87W5339H,심완구,010723,130060,false
제13대,2OQ3817H,윤성한,010723,130060,false
제13대,12S7035O,조승형,010732,130059,true
제13대,1KZ38436,강신옥,010732,130059,false
제13대,MH14784M,신오철,010732,130059,false
제13대,UF42797P,백남치,010724,130058,true
제13대,M9I4775W,유기수,010724,130058,false
제13대,2PO2218L,정균환,010724,130058,false
제13대,FR056047,문정수,010729,130057,true
제13대,K4I9530L,김제태,010729,130057,false
제13대,7GJ2564V,최락도,010729,130057,false
제13대,ID74552F,류승번,010720,130056,true
제13대,UBR50068,정일영,010720,130056,false
제13대,RAU77180,조순승,010720,130056,false
제13대,QJ74422A,정상용,010728,130055,true
제13대,KWF97697,김홍만,010728,130055,false
제13대,5SH5466E,최기선,010728,130055,false
제13대,QL63675M,정재문,010721,130054,true
제13대,SMR7052V,김두윤,010721,130054,false
제13대,ZM57890S,이찬구,010721,130054,false
제13대,IOI30449,김봉호,010716,130053,true
제13대,GTH3618V,김용환,010716,130053,false
제13대,YP610287,황병태,010716,130053,false
제13대,MHE1145A,박상천,010726,130052,true
제13대,MHE1145A,박상천,010726,130052,true
제13대,0XM13788,박충순,010726,130052,false
제13대,31E2086R,장석화,010726,130052,false
제13대,EC995719,구자춘,010725,130051,true
제13대,HIT2733V,이영권,010725,130051,false
제13대,FYA2094A,조만후,010725,130051,false
제13대,KDB6892X,김덕규,010727,130050,true
제13대,35I30124,강삼재,010727,130050,false
제13대,L9A8497B,신진수,010727,130050,false
제13대,OX877045,신영국,010713,130047,true
제13대,AMY93771,김동영,010708,130039,true
제13대,NUX49887,이한동,010704,130036,true
제13대,IU67432G,강재섭,010704,130036,false
제13대,IU67432G,강재섭,010704,130036,false
제13대,I3819289,오유방,010704,130036,false
제13대,9TG26303,유수호,010704,130036,false
제13대,JZQ2865S,이진우,010704,130036,false
제13대,P1G3654N,이치호,010704,130036,false
제13대,QHJ1904L,박준규,010705,130035,true
제13대,I3819289,오유방,010705,130035,false
제13대,JZQ2865S,이진우,010705,130035,false
제13대,FSN5613H,박희태,010706,130034,true
제13대,JZQ2865S,이진우,010706,130034,false
