의안ID,의안번호,법률안명,소관위원회,제안일,본회의심의결과,대수,상세페이지,제안자,제안자목록링크,법사위처리일,법사위상정일,법사위회부일,소관위처리결과,소관위처리일,소관위상정일,소관위회부일,의결일,소관위원회ID,공동발의자,법사위처리결과,대표발의자
010723,130060,경범죄처벌법중개정법률안,민주발전을위한법률개폐특별위원회,1988-07-18,대안반영폐기,13,http://likms.assembly.go.kr/bill/billDetail.do?billId=010723&ageFrom=13&ageTo=13,신순범의원등 3인 외 163인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=010723,,,,대안반영폐기,1988-12-05,1988-07-28,1988-07-27,1988-12-15,9700148,"심완구,윤성한",,신순범
010732,130059,집회및시위에관한법률중개정법률안,민주발전을위한법률개폐특별위원회,1988-07-18,대안반영폐기,13,http://likms.assembly.go.kr/bill/billDetail.do?billId=010732&ageFrom=13&ageTo=13,조승형의원등 3인 외 163인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=010732,,,,대안반영폐기,1989-03-06,1988-07-28,1988-07-27,1989-03-09,9700148,"강신옥,신오철",,조승형
010724,130058,경찰관직무집행법중개정법률안,민주발전을위한법률개폐특별위원회,1988-07-18,대안반영폐기,13,http://likms.assembly.go.kr/bill/billDetail.do?billId=010724&ageFrom=13&ageTo=13,백남치의원등 3인 외 163인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=010724,,,,대안반영폐기,1988-12-12,1988-07-28,1988-07-27,1988-12-16,9700148,"유기수,정균환",,백남치
010729,130057,새마을운동조직육성법폐지법률안,내무위원회,1988-07-18,임기만료폐기,13,http://likms.assembly.go.kr/bill/billDetail.do?billId=010729&ageFrom=13&ageTo=13,문정수의원등 3인 외 163인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=010729,,,,,,,1989-01-26,1992-05-29,9700017,"김제태,최락도",,문정수
010720,130056,국가원로자문회의법폐지법률안,민주발전을위한법률개폐특별위원회,1988-07-18,대안반영폐기,13,http://likms.assembly.go.kr/bill/billDetail.do?billId=010720&ageFrom=13&ageTo=13,류승번의원등 3인 외 163인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=010720,,,,대안반영폐기,1989-02-24,1989-02-17,1988-07-27,1989-03-08,9700148,"정일영,조순승",,류승번
010728,130055,사회정화운동조직육성법폐지법률안,내무위원회,1988-07-18,원안가결,13,http://likms.assembly.go.kr/bill/billDetail.do?billId=010728&ageFrom=13&ageTo=13,정상용의원등 3인 외 163인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=010728,1989-03-09,1989-03-09,1989-03-08,원안가결,1989-03-08,1989-02-27,1989-01-26,1989-03-09,9700017,"김홍만,최기선",원안가결,정상용
010721,130054,민주평화통일자문회의법폐지법률안,외무통일위원회,1988-07-18,임기만료폐기,13,http://likms.assembly.go.kr/bill/billDetail.do?billId=010721&ageFrom=13&ageTo=13,정재문의원등 3인 외 163인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=010721,,,,,,,1989-01-26,1992-05-29,9700016,"김두윤,이찬구",,정재문
010716,130053,헌법재판소법안,법제사법위원회,1988-07-18,대안반영폐기,13,http://likms.assembly.go.kr/bill/billDetail.do?billId=010716&ageFrom=13&ageTo=13,김봉호의원등 3인 외 163인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=010716,,,,대안반영폐기,1988-07-23,1988-07-23,1988-07-19,1988-07-23,9700006,"김용환,황병태",,김봉호
010726,130052,형법중개정법률안,민주발전을위한법률개폐특별위원회,1988-07-18,대안반영폐기,13,http://likms.assembly.go.kr/bill/billDetail.do?billId=010726&ageFrom=13&ageTo=13,박상천의원등 4인 외 163인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=010726,,,,대안반영폐기,1988-07-28,1988-07-28,1988-07-27,1988-12-15,9700148,"박충순,장석화",,박상천
010725,130051,정치풍토쇄신을위한특별조치법폐지법률안,민주발전을위한법률개폐특별위원회,1988-07-18,대안반영폐기,13,http://likms.assembly.go.kr/bill/billDetail.do?billId=010725&ageFrom=13&ageTo=13,구자춘의원등 3인 외 163인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=010725,,,,대안반영폐기,1988-07-28,1988-07-28,1988-07-27,1988-12-15,9700148,"이영권,조만후",,구자춘
010727,130050,국회사무처법중개정법률안,국회운영위원회,1988-07-18,폐기,13,http://likms.assembly.go.kr/bill/billDetail.do?billId=010727&ageFrom=13&ageTo=13,김덕규의원등 3인 외 163인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=010727,,,,폐기,1989-11-30,1988-07-22,1988-07-19,1989-12-11,9700005,"강삼재,신진수",,김덕규
010713,130047,수출검사법폐지법률안,상공위원회,1988-07-16,임기만료폐기,13,http://likms.assembly.go.kr/bill/billDetail.do?billId=010713&ageFrom=13&ageTo=13,신영국의원 외 59인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=010713,,,,,,,1988-07-18,1992-05-29,9700033,,,신영국
010708,130039,농어민재해보상보험법안,농림수산위원회,1988-07-07,임기만료폐기,13,http://likms.assembly.go.kr/bill/billDetail.do?billId=010708&ageFrom=13&ageTo=13,김동영의원 외 59인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=010708,,,,,,,1988-07-08,1992-05-29,9700028,,,김동영
010704,130036,헌법재판소법안,법제사법위원회,1988-07-04,대안반영폐기,13,http://likms.assembly.go.kr/bill/billDetail.do?billId=010704&ageFrom=13&ageTo=13,이한동의원등 7인 외 91인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=010704,,,,대안반영폐기,1988-07-23,1988-07-23,1988-07-06,1988-07-23,9700006,"강재섭,강재섭,오유방,유수호,이진우,이치호",,이한동
010705,130035,형법중개정법률안,민주발전을위한법률개폐특별위원회,1988-07-04,대안반영폐기,13,http://likms.assembly.go.kr/bill/billDetail.do?billId=010705&ageFrom=13&ageTo=13,박준규의원등 3인 외 94인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=010705,,,,대안반영폐기,1988-07-28,1988-07-28,1988-07-29,1988-12-15,9700148,"오유방,이진우",,박준규
010706,130034,정치풍토쇄신을위한특별조치법폐지법률안,민주발전을위한법률개폐특별위원회,1988-07-04,대안반영폐기,13,http://likms.assembly.go.kr/bill/billDetail.do?billId=010706&ageFrom=13&ageTo=13,박희태의원등 2인 외 95인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=010706,,,,대안반영폐기,1988-07-28,1988-07-28,1988-07-29,1988-12-15,9700148,이진우,,박희태
